"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2020","6.960","7.018","7.060","6.832","935.48K","0.20%"
"10/02/2020","6.946","6.810","6.992","6.782","635.39K","0.29%"
"10/01/2020","6.926","7.046","7.046","6.850","700.70K","-1.11%"
"09/30/2020","7.004","7.018","7.078","6.934","827.37K","-0.26%"
"09/29/2020","7.022","7.052","7.104","7.022","427.70K","-1.01%"
"09/28/2020","7.094","6.870","7.110","6.840","681.31K","4.29%"
"09/25/2020","6.802","6.888","6.898","6.778","432.91K","-0.23%"
"09/24/2020","6.818","6.798","6.874","6.732","569.25K","-0.76%"
"09/23/2020","6.870","6.830","6.922","6.770","568.71K","1.48%"
"09/22/2020","6.770","6.752","6.920","6.678","899.87K","1.38%"
"09/21/2020","6.678","7.026","7.026","6.650","1.10M","-5.52%"
"09/18/2020","7.068","7.064","7.100","6.972","750.85K","-0.17%"
"09/17/2020","7.080","6.824","7.080","6.818","1.14M","2.28%"
"09/16/2020","6.922","6.816","6.942","6.748","1.24M","1.41%"
"09/15/2020","6.826","6.816","6.880","6.788","740.70K","0.09%"
"09/14/2020","6.820","6.860","6.918","6.804","701.06K","-0.03%"
"09/11/2020","6.822","6.808","6.852","6.730","584.26K","-0.32%"
"09/10/2020","6.844","6.800","6.916","6.788","458.74K","-0.12%"
"09/09/2020","6.852","6.836","6.900","6.764","545.96K","0.18%"
"09/08/2020","6.840","6.934","6.934","6.728","684.33K","-1.36%"
"09/07/2020","6.934","7.048","7.080","6.922","440.29K","-0.89%"
"09/04/2020","6.996","6.866","7.100","6.824","770.98K","2.31%"
"09/03/2020","6.838","6.978","7.084","6.798","548.22K","-1.21%"
"09/02/2020","6.922","6.970","7.054","6.922","797.25K","0.17%"
"09/01/2020","6.910","6.888","6.990","6.798","566.57K","1.77%"
"08/31/2020","6.790","7.000","7.102","6.760","1.13M","-2.25%"
"08/28/2020","6.946","6.850","6.954","6.826","359.41K","1.55%"
"08/27/2020","6.840","6.974","6.996","6.838","344.13K","-1.89%"
"08/26/2020","6.972","6.810","6.972","6.810","829.64K","2.32%"
"08/25/2020","6.814","7.044","7.150","6.814","698.27K","-2.07%"
"08/24/2020","6.958","6.888","7.030","6.850","543.50K","1.96%"
"08/21/2020","6.824","6.956","7.024","6.800","879.76K","-1.81%"
"08/20/2020","6.950","7.200","7.200","6.950","1.25M","-4.53%"
"08/19/2020","7.280","7.292","7.336","7.238","329.12K","-0.52%"
"08/18/2020","7.318","7.404","7.444","7.300","399.11K","-1.98%"
"08/17/2020","7.466","7.386","7.504","7.386","300.45K","1.22%"
